dataset,field,rel_eb,initial_psnr,initial_ssim,ipdps_psnr,ipdps_ssim,ipdps_delta,curr_psnr,curr_ssim,curr_delta,curr_skipped
nyx,velocity_x,1e-3,64.770879,0.960492,68.647653,0.988038,3.8768,68.511110,0.987089,3.7402,0
nyx,velocity_x,5e-3,50.795315,0.556353,59.578210,0.926100,8.7829,59.347510,0.922888,8.5522,0
nyx,velocity_x,1e-2,44.758605,0.271399,54.173234,0.861462,9.4146,54.108751,0.858904,9.3501,0
nyx,velocity_y,1e-3,64.770111,0.933545,69.261835,0.981125,4.4917,69.008116,0.979198,4.2380,0
nyx,velocity_y,5e-3,50.800854,0.425588,59.587817,0.881162,8.7870,59.459629,0.878516,8.6588,0
nyx,velocity_y,1e-2,44.731495,0.192604,53.895062,0.789877,9.1636,53.880087,0.788220,9.1486,0
nyx,velocity_z,1e-3,64.772546,0.962157,68.232720,0.986747,3.4602,68.113932,0.985901,3.3414,0
nyx,velocity_z,5e-3,50.794898,0.559852,59.044851,0.909992,8.2500,58.839560,0.907208,8.0447,0
nyx,velocity_z,1e-2,44.755193,0.276103,53.834594,0.829710,9.0794,53.783425,0.827551,9.0282,0
nyx,baryon_density,1e-3,92.978121,0.002034,66.953126,0.003091,-26.0250,92.978121,0.002034,0.0000,1
nyx,baryon_density,5e-3,88.817858,0.000615,53.244679,0.000430,-35.5732,88.817858,0.000615,0.0000,1
nyx,baryon_density,1e-2,86.751905,0.000363,46.585209,0.000176,-40.1667,86.751905,0.000363,0.0000,1
nyx,dark_matter_density,1e-3,78.688234,0.063949,67.297350,0.073539,-11.3909,78.688234,0.063949,0.0000,1
nyx,dark_matter_density,5e-3,73.514726,0.013100,52.304674,0.010705,-21.2101,73.514726,0.013100,0.0000,1
nyx,dark_matter_density,1e-2,71.484658,0.006444,45.304603,0.004118,-26.1801,71.484658,0.006444,0.0000,1
nyx,temperature,1e-3,63.893276,0.203918,68.239675,0.593902,4.3464,68.301757,0.593753,4.4085,0
nyx,temperature,5e-3,54.681982,0.023063,54.429478,0.123110,-0.2525,54.681982,0.023063,0.0000,1
nyx,temperature,1e-2,54.120235,0.004564,46.643442,0.031019,-7.4768,54.120235,0.004564,0.0000,1
hurricane,CLOUDf48.bin,1e-3,74.551865,0.939593,70.194746,0.922030,-4.3571,74.551865,0.939593,0.0000,1
hurricane,CLOUDf48.bin,5e-3,61.245129,0.892339,55.244784,0.871992,-6.0003,61.245129,0.892339,0.0000,1
hurricane,CLOUDf48.bin,1e-2,55.673181,0.866362,48.832776,0.844996,-6.8404,55.673181,0.866362,0.0000,1
hurricane,CLOUDf48.log10.bin,1e-3,61.773900,0.999983,61.772871,0.999983,-0.0010,61.772855,0.999983,-0.0010,0
hurricane,CLOUDf48.log10.bin,5e-3,46.638497,0.999594,46.640995,0.999726,0.0025,46.640516,0.999720,0.0020,0
hurricane,CLOUDf48.log10.bin,1e-2,46.092037,0.998581,46.162729,0.999371,0.0707,46.158493,0.999342,0.0665,0
hurricane,Pf48.bin,1e-3,64.802868,0.947586,66.948358,0.989471,2.1455,66.853361,0.987788,2.0505,0
hurricane,Pf48.bin,5e-3,50.730260,0.603833,58.884906,0.958077,8.1546,58.445352,0.953604,7.7151,0
hurricane,Pf48.bin,1e-2,44.815110,0.385721,53.879104,0.901888,9.0640,53.509382,0.897583,8.6943,0
hurricane,PRECIPf48.bin,1e-3,74.109784,0.172587,68.570276,0.161283,-5.5395,74.109784,0.172587,0.0000,1
hurricane,PRECIPf48.bin,5e-3,61.408998,0.111736,53.411448,0.104553,-7.9975,61.408998,0.111736,0.0000,1
hurricane,PRECIPf48.bin,1e-2,56.063184,0.081414,46.852053,0.078175,-9.2111,56.063184,0.081414,0.0000,1
hurricane,PRECIPf48.log10.bin,1e-3,64.766030,0.966049,65.498646,0.984386,0.7326,65.479875,0.984067,0.7138,0
hurricane,PRECIPf48.log10.bin,5e-3,50.823352,0.774299,52.917402,0.893648,2.0941,52.904455,0.893594,2.0811,0
hurricane,PRECIPf48.log10.bin,1e-2,45.079630,0.636999,47.432253,0.800317,2.3526,47.447866,0.800956,2.3682,0
hurricane,QCLOUDf48.bin,1e-3,79.147707,0.940891,73.219747,0.931932,-5.9280,79.147707,0.940891,0.0000,1
hurricane,QCLOUDf48.bin,5e-3,65.418675,0.930278,59.086713,0.917657,-6.3320,65.418675,0.930278,0.0000,1
hurricane,QCLOUDf48.bin,1e-2,59.530910,0.925183,52.438841,0.907647,-7.0921,59.530910,0.925183,0.0000,1
hurricane,QCLOUDf48.log10.bin,1e-3,64.617200,0.999973,64.606152,0.999966,-0.0110,64.617200,0.999973,0.0000,1
hurricane,QCLOUDf48.log10.bin,5e-3,49.403126,0.999516,49.409224,0.999488,0.0061,49.403126,0.999516,0.0000,1
hurricane,QCLOUDf48.log10.bin,1e-2,48.952024,0.998698,48.963843,0.999213,0.0118,48.952024,0.998698,0.0000,1
hurricane,QGRAUPf48.bin,1e-3,78.254525,0.073380,68.552329,0.065608,-9.7022,78.254525,0.073380,0.0000,1
hurricane,QGRAUPf48.bin,5e-3,65.587275,0.045637,53.942321,0.042162,-11.6450,65.587275,0.045637,0.0000,1
hurricane,QGRAUPf48.bin,1e-2,60.229760,0.033109,47.726110,0.031804,-12.5037,60.229760,0.033109,0.0000,1
hurricane,QGRAUPf48.log10.bin,1e-3,64.943399,0.978489,65.633898,0.990413,0.6905,65.615293,0.990128,0.6719,0
hurricane,QGRAUPf48.log10.bin,5e-3,50.999884,0.826125,53.023855,0.923448,2.0240,52.995946,0.923073,1.9961,0
hurricane,QGRAUPf48.log10.bin,1e-2,44.927197,0.682216,46.768679,0.832929,1.8415,46.770635,0.832943,1.8434,0
hurricane,QICEf48.bin,1e-3,75.826787,0.943485,70.263672,0.922859,-5.5631,75.826787,0.943485,0.0000,1
hurricane,QICEf48.bin,5e-3,62.554833,0.900854,54.342304,0.878124,-8.2125,62.554833,0.900854,0.0000,1
hurricane,QICEf48.bin,1e-2,57.004798,0.877187,47.500507,0.858043,-9.5043,57.004798,0.877187,0.0000,1
hurricane,QICEf48.log10.bin,1e-3,66.669550,0.999953,66.664879,0.999954,-0.0047,66.669550,0.999953,0.0000,1
hurricane,QICEf48.log10.bin,5e-3,47.273350,0.998961,47.293157,0.999554,0.0198,47.273350,0.998961,0.0000,1
hurricane,QICEf48.log10.bin,1e-2,46.761185,0.996765,46.886134,0.998912,0.1249,46.761185,0.996765,0.0000,1
hurricane,QRAINf48.bin,1e-3,78.322715,0.090843,71.374851,0.077212,-6.9479,78.322715,0.090843,0.0000,1
hurricane,QRAINf48.bin,5e-3,65.246262,0.069258,54.552258,0.054886,-10.6940,65.246262,0.069258,0.0000,1
hurricane,QRAINf48.bin,1e-2,59.713286,0.056137,47.353889,0.043496,-12.3594,59.713286,0.056137,0.0000,1
hurricane,QRAINf48.log10.bin,1e-3,64.847768,0.963809,65.545501,0.985486,0.6977,65.530238,0.985189,0.6825,0
hurricane,QRAINf48.log10.bin,5e-3,50.869996,0.811544,52.535077,0.912957,1.6651,52.513936,0.912572,1.6439,0
hurricane,QRAINf48.log10.bin,1e-2,44.930531,0.698337,46.415742,0.837177,1.4852,46.413916,0.837128,1.4834,0
hurricane,QSNOWf48.bin,1e-3,74.717408,0.149419,68.895597,0.141749,-5.8218,74.717408,0.149419,0.0000,1
hurricane,QSNOWf48.bin,5e-3,61.757795,0.106557,54.053246,0.100831,-7.7045,61.757795,0.106557,0.0000,1
hurricane,QSNOWf48.bin,1e-2,56.321683,0.084133,47.465858,0.081572,-8.8558,56.321683,0.084133,0.0000,1
hurricane,QSNOWf48.log10.bin,1e-3,64.898184,0.975831,65.529184,0.988998,0.6310,65.513674,0.988777,0.6155,0
hurricane,QSNOWf48.log10.bin,5e-3,51.010230,0.827444,52.784178,0.917865,1.7739,52.766715,0.917856,1.7565,0
hurricane,QSNOWf48.log10.bin,1e-2,44.769350,0.683825,45.383601,0.802108,0.6143,45.401933,0.802598,0.6326,0
hurricane,QVAPORf48.bin,1e-3,65.228531,0.660019,67.390379,0.737145,2.1618,67.366361,0.736636,2.1378,0
hurricane,QVAPORf48.bin,5e-3,52.512682,0.516288,53.535863,0.627663,1.0232,53.519397,0.626540,1.0067,0
hurricane,QVAPORf48.bin,1e-2,46.770003,0.433618,47.616190,0.568129,0.8462,47.605458,0.567158,0.8355,0
hurricane,TCf48.bin,1e-3,64.788895,0.998102,64.873067,0.998499,0.0842,64.869983,0.998484,0.0811,0
hurricane,TCf48.bin,5e-3,50.806895,0.963408,52.030130,0.984133,1.2232,52.014408,0.983670,1.2075,0
hurricane,TCf48.bin,1e-2,44.801048,0.899577,49.916175,0.967029,5.1151,49.785805,0.965914,4.9848,0
hurricane,Uf48.bin,1e-3,64.791495,0.995396,64.985800,0.996158,0.1943,64.976962,0.996128,0.1855,0
hurricane,Uf48.bin,5e-3,50.812437,0.909984,54.498036,0.969971,3.6856,54.373474,0.968323,3.5610,0
hurricane,Uf48.bin,1e-2,44.783027,0.748742,50.168389,0.918907,5.3854,50.017736,0.916693,5.2347,0
hurricane,Vf48.bin,1e-3,64.789575,0.995436,65.041994,0.996317,0.2524,65.034319,0.996289,0.2447,0
hurricane,Vf48.bin,5e-3,50.815484,0.910867,54.607826,0.971027,3.7923,54.459362,0.969197,3.6439,0
hurricane,Vf48.bin,1e-2,44.776583,0.753443,50.429339,0.925546,5.6528,50.244085,0.923093,5.4675,0
hurricane,Wf48.bin,1e-3,64.814406,0.970469,64.753873,0.969617,-0.0605,64.732767,0.969337,-0.0816,0
hurricane,Wf48.bin,5e-3,51.458105,0.536115,53.213558,0.622536,1.7555,53.280304,0.623777,1.8222,0
hurricane,Wf48.bin,1e-2,47.705588,0.202627,47.540425,0.256810,-0.1652,47.705588,0.202627,0.0000,1
