dataset,field,rel_eb,initial_psnr,initial_ssim,final_psnr,final_ssim,psnr_delta,harm_rate,benefit_rate,skipped,skip_reason
nyx,velocity_x,1e-3,64.770879,0.960492,68.511110,0.987089,3.7402,0.176893,0.528916,0,""
nyx,velocity_x,5e-3,50.795315,0.556353,59.347510,0.922888,8.5522,0.160186,0.822210,0,""
nyx,velocity_x,1e-2,44.758605,0.271399,54.108751,0.858904,9.3501,0.150664,0.844067,0,""
nyx,velocity_y,1e-3,64.770111,0.933545,69.008116,0.979198,4.2380,0.214843,0.617601,0,""
nyx,velocity_y,5e-3,50.800854,0.425588,59.459629,0.878516,8.6588,0.166155,0.823359,0,""
nyx,velocity_y,1e-2,44.731495,0.192604,53.880087,0.788220,9.1486,0.162019,0.835206,0,""
nyx,velocity_z,1e-3,64.772546,0.962157,68.113932,0.985901,3.3414,0.183627,0.506442,0,""
nyx,velocity_z,5e-3,50.794898,0.559852,58.839560,0.907208,8.0447,0.174517,0.807023,0,""
nyx,velocity_z,1e-2,44.755193,0.276103,53.783425,0.827551,9.0282,0.162142,0.832792,0,""
nyx,baryon_density,1e-3,92.978121,0.002034,92.978121,0.002034,0.0000,0.000000,0.000000,1,"skipping compensation"
nyx,baryon_density,5e-3,88.817858,0.000615,88.817858,0.000615,0.0000,0,0,1,"skipping compensation"
nyx,baryon_density,1e-2,86.751905,0.000363,86.751905,0.000363,0.0000,0,0,1,"skipping compensation"
nyx,dark_matter_density,1e-3,78.688234,0.063949,78.688234,0.063949,0.0000,0.000000,0.000000,1,"skipping compensation"
nyx,dark_matter_density,5e-3,73.514726,0.013100,73.514726,0.013100,0.0000,0.000000,0.000000,1,"skipping compensation"
nyx,dark_matter_density,1e-2,71.484658,0.006444,71.484658,0.006444,0.0000,0.000000,0.000000,1,"skipping compensation"
nyx,temperature,1e-3,63.893276,0.203918,68.301757,0.593753,4.4085,0.283172,0.707421,0,""
nyx,temperature,5e-3,54.681982,0.023063,54.681982,0.023063,0.0000,0.000000,0.000000,1,"skipping compensation"
nyx,temperature,1e-2,54.120235,0.004564,54.120235,0.004564,0.0000,0.000000,0.000000,1,"skipping compensation"
hurricane,CLOUDf48.bin,1e-3,74.551865,0.939593,74.551865,0.939593,0.0000,0.000000,0.000000,1,"skipping compensation"
hurricane,CLOUDf48.bin,5e-3,61.245129,0.892339,61.245129,0.892339,0.0000,0.000000,0.000000,1,"skipping compensation"
hurricane,CLOUDf48.bin,1e-2,55.673181,0.866362,55.673181,0.866362,0.0000,0.000000,0.000000,1,"skipping compensation"
hurricane,CLOUDf48.log10.bin,1e-3,61.773900,0.999983,61.772855,0.999983,-0.0010,0.000202,0.000152,0,""
hurricane,CLOUDf48.log10.bin,5e-3,46.638497,0.999594,46.640516,0.999720,0.0020,0.005157,0.008035,0,""
hurricane,CLOUDf48.log10.bin,1e-2,46.092037,0.998581,46.158493,0.999342,0.0665,0.011592,0.021263,0,""
hurricane,Pf48.bin,1e-3,64.802868,0.947586,66.853361,0.987788,2.0505,0.122064,0.365669,0,""
hurricane,Pf48.bin,5e-3,50.730260,0.603833,58.445352,0.953604,7.7151,0.143906,0.784698,0,""
hurricane,Pf48.bin,1e-2,44.815110,0.385721,53.509382,0.897583,8.6943,0.165986,0.824326,0,""
hurricane,PRECIPf48.bin,1e-3,74.109784,0.172587,74.109784,0.172587,0.0000,0.000000,0.000000,1,"skipping compensation"
hurricane,PRECIPf48.bin,5e-3,61.408998,0.111736,61.408998,0.111736,0.0000,0.000000,0.000000,1,"skipping compensation"
hurricane,PRECIPf48.bin,1e-2,56.063184,0.081414,56.063184,0.081414,0.0000,0.000000,0.000000,1,"skipping compensation"
hurricane,PRECIPf48.log10.bin,1e-3,64.766030,0.966049,65.479875,0.984067,0.7138,0.097457,0.204827,0,""
hurricane,PRECIPf48.log10.bin,5e-3,50.823352,0.774299,52.904455,0.893594,2.0811,0.220048,0.475084,0,""
hurricane,PRECIPf48.log10.bin,1e-2,45.079630,0.636999,47.447866,0.800956,2.3682,0.270296,0.541980,0,""
