dataset,field,rel_eb,dims,initial_psnr,final_psnr,psnr_delta,elapsed_ms,boundary_ms,edt1_ms,fill_sign_ms,neutral_ms,edt2_ms,comp_ms,edt_total_ms,edt_method
nyx,velocity_x,1e-3,512x512x512,64.770879,68.501342,3.7305,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
nyx,velocity_x,5e-3,512x512x512,50.795316,59.341294,8.5460,79.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
nyx,velocity_x,1e-2,512x512x512,44.758605,54.104238,9.3456,78.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
nyx,velocity_y,1e-3,512x512x512,64.770111,68.975388,4.2053,79.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
nyx,velocity_y,5e-3,512x512x512,50.800854,59.451651,8.6508,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
nyx,velocity_y,1e-2,512x512x512,44.731495,53.876946,9.1455,80.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
nyx,velocity_z,1e-3,512x512x512,64.772548,68.144561,3.3720,78.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
nyx,velocity_z,5e-3,512x512x512,50.794899,58.853460,8.0586,79.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
nyx,velocity_z,1e-2,512x512x512,44.755194,53.790460,9.0353,80.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
nyx,baryon_density,1e-3,512x512x512,92.978121,92.978121,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
nyx,baryon_density,5e-3,512x512x512,88.817858,88.817858,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
nyx,baryon_density,1e-2,512x512x512,86.751905,86.751905,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
nyx,dark_matter_density,1e-3,512x512x512,78.688234,78.688234,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
nyx,dark_matter_density,5e-3,512x512x512,73.514726,73.514726,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
nyx,dark_matter_density,1e-2,512x512x512,71.484658,71.484658,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
nyx,temperature,1e-3,512x512x512,63.893276,68.301812,4.4085,79.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
nyx,temperature,5e-3,512x512x512,54.681982,54.681982,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
nyx,temperature,1e-2,512x512x512,54.120235,54.120235,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,CLOUDf48.bin,1e-3,500x500x100,74.551865,74.551865,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,CLOUDf48.bin,5e-3,500x500x100,61.245129,61.245129,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,CLOUDf48.bin,1e-2,500x500x100,55.673181,55.673181,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,CLOUDf48.log10.bin,1e-3,500x500x100,61.773900,61.772855,-0.0010,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,CLOUDf48.log10.bin,5e-3,500x500x100,46.638497,46.640502,0.0020,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,CLOUDf48.log10.bin,1e-2,500x500x100,46.092036,46.158146,0.0661,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,Pf48.bin,1e-3,500x500x100,64.802868,66.858770,2.0559,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,Pf48.bin,5e-3,500x500x100,50.730260,58.551555,7.8213,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,Pf48.bin,1e-2,500x500x100,44.815110,53.654099,8.8390,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,PRECIPf48.bin,1e-3,500x500x100,74.109784,74.109784,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,PRECIPf48.bin,5e-3,500x500x100,61.408998,61.408998,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,PRECIPf48.bin,1e-2,500x500x100,56.063184,56.063184,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,PRECIPf48.log10.bin,1e-3,500x500x100,64.766030,65.477083,0.7111,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,PRECIPf48.log10.bin,5e-3,500x500x100,50.823352,52.897976,2.0746,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,PRECIPf48.log10.bin,1e-2,500x500x100,45.079630,47.444492,2.3649,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,QCLOUDf48.bin,1e-3,500x500x100,79.147707,79.147707,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,QCLOUDf48.bin,5e-3,500x500x100,65.418675,65.418675,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,QCLOUDf48.bin,1e-2,500x500x100,59.530910,59.530910,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,QCLOUDf48.log10.bin,1e-3,500x500x100,64.617201,64.617201,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,QCLOUDf48.log10.bin,5e-3,500x500x100,49.403126,49.403126,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,QCLOUDf48.log10.bin,1e-2,500x500x100,48.952024,48.952024,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,QGRAUPf48.bin,1e-3,500x500x100,78.254525,78.254525,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,QGRAUPf48.bin,5e-3,500x500x100,65.587275,65.587275,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,QGRAUPf48.bin,1e-2,500x500x100,60.229760,60.229760,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,QGRAUPf48.log10.bin,1e-3,500x500x100,64.943392,65.613871,0.6705,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,QGRAUPf48.log10.bin,5e-3,500x500x100,50.999883,52.982590,1.9827,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,QGRAUPf48.log10.bin,1e-2,500x500x100,44.927198,46.760523,1.8333,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,QICEf48.bin,1e-3,500x500x100,75.826787,75.826787,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,QICEf48.bin,5e-3,500x500x100,62.554833,62.554833,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,QICEf48.bin,1e-2,500x500x100,57.004798,57.004798,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,QICEf48.log10.bin,1e-3,500x500x100,66.669550,66.669550,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,QICEf48.log10.bin,5e-3,500x500x100,47.273350,47.273350,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,QICEf48.log10.bin,1e-2,500x500x100,46.761185,46.761185,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,QRAINf48.bin,1e-3,500x500x100,78.322715,78.322715,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,QRAINf48.bin,5e-3,500x500x100,65.246262,65.246262,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,QRAINf48.bin,1e-2,500x500x100,59.713286,59.713286,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,QRAINf48.log10.bin,1e-3,500x500x100,64.847689,65.526104,0.6784,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,QRAINf48.log10.bin,5e-3,500x500x100,50.869999,52.500755,1.6308,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,QRAINf48.log10.bin,1e-2,500x500x100,44.930531,46.405474,1.4749,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,QSNOWf48.bin,1e-3,500x500x100,74.717408,74.717408,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,QSNOWf48.bin,5e-3,500x500x100,61.757795,61.757795,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,QSNOWf48.bin,1e-2,500x500x100,56.321683,56.321683,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
hurricane,QSNOWf48.log10.bin,1e-3,500x500x100,64.898186,65.512152,0.6140,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,QSNOWf48.log10.bin,5e-3,500x500x100,51.010225,52.767073,1.7568,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,QSNOWf48.log10.bin,1e-2,500x500x100,44.769351,45.407180,0.6378,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,QVAPORf48.bin,1e-3,500x500x100,65.228531,67.399229,2.1707,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,QVAPORf48.bin,5e-3,500x500x100,52.512682,53.533456,1.0208,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,QVAPORf48.bin,1e-2,500x500x100,46.770003,47.611719,0.8417,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,TCf48.bin,1e-3,500x500x100,64.788831,64.869954,0.0811,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,TCf48.bin,5e-3,500x500x100,50.806881,52.015777,1.2089,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,TCf48.bin,1e-2,500x500x100,44.801046,49.819458,5.0184,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,Uf48.bin,1e-3,500x500x100,64.791495,64.976952,0.1855,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,Uf48.bin,5e-3,500x500x100,50.812437,54.374655,3.5622,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,Uf48.bin,1e-2,500x500x100,44.783027,50.024926,5.2419,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,Vf48.bin,1e-3,500x500x100,64.789575,65.034257,0.2447,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,Vf48.bin,5e-3,500x500x100,50.815484,54.461823,3.6463,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,Vf48.bin,1e-2,500x500x100,44.776583,50.253340,5.4768,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,Wf48.bin,1e-3,500x500x100,64.814408,64.732793,-0.0816,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,Wf48.bin,5e-3,500x500x100,51.458105,53.280640,1.8225,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hurricane,Wf48.bin,1e-2,500x500x100,47.705588,47.705588,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,3
