dataset,field,dims,rel_eb,cgeom,geo_scale,harm_rate,benefit_rate,harm_rms,benefit_rms,initial_psnr,initial_ssim,final_psnr,final_ssim,log_file
nyx,velocity_x,512x512x512,1e-3,off,,0.176893,0.528915,3.916232E+04,5.455891E+04,64.770879,0.960492,68.511110,0.987089,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_velocity_x_eb1e-3_cgeomoff.log
nyx,velocity_x,512x512x512,1e-3,on,0.00133754,0.054678,0.651131,1.222337E+03,3.662822E+03,64.770879,0.960492,64.787563,0.960637,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_velocity_x_eb1e-3_cgeomon.log
nyx,velocity_x,512x512x512,5e-3,off,,0.160186,0.822210,1.344681E+05,2.500396E+05,50.795315,0.556353,59.347510,0.922888,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_velocity_x_eb5e-3_cgeomoff.log
nyx,velocity_x,512x512x512,5e-3,on,2.82843,0.146579,0.835817,1.273555E+05,2.471176E+05,50.795315,0.556353,59.434224,0.922355,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_velocity_x_eb5e-3_cgeomon.log
nyx,velocity_x,512x512x512,1e-2,off,,0.150663,0.844067,2.681103E+05,4.998441E+05,44.758605,0.271399,54.108751,0.858904,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_velocity_x_eb1e-2_cgeomoff.log
nyx,velocity_x,512x512x512,1e-2,on,6.00431,0.140791,0.853939,2.537456E+05,4.958101E+05,44.758605,0.271399,54.243278,0.857160,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_velocity_x_eb1e-2_cgeomon.log
nyx,velocity_y,512x512x512,1e-3,off,,0.214842,0.617601,4.543886E+04,6.412330E+04,64.770111,0.933545,69.008116,0.979198,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_velocity_y_eb1e-3_cgeomoff.log
nyx,velocity_y,512x512x512,1e-3,on,1.00106,0.197101,0.635341,4.186926E+04,6.281366E+04,64.770111,0.933545,69.238109,0.980862,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_velocity_y_eb1e-3_cgeomon.log
nyx,velocity_y,512x512x512,5e-3,off,,0.166155,0.823358,1.663331E+05,3.059354E+05,50.800854,0.425588,59.459629,0.878516,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_velocity_y_eb5e-3_cgeomoff.log
nyx,velocity_y,512x512x512,5e-3,on,4.00526,0.155217,0.834296,1.577096E+05,3.030520E+05,50.800854,0.425588,59.573295,0.877797,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_velocity_y_eb5e-3_cgeomon.log
nyx,velocity_y,512x512x512,1e-2,off,,0.162019,0.835206,3.354403E+05,6.153916E+05,44.731495,0.192604,53.880087,0.788220,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_velocity_y_eb1e-2_cgeomoff.log
nyx,velocity_y,512x512x512,1e-2,on,8.13018,0.152591,0.844634,3.160572E+05,6.107551E+05,44.731495,0.192604,54.068924,0.787771,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_velocity_y_eb1e-2_cgeomon.log
nyx,velocity_z,512x512x512,1e-3,off,,0.183626,0.506442,3.585499E+04,4.809716E+04,64.772546,0.962157,68.113932,0.985901,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_velocity_z_eb1e-3_cgeomoff.log
nyx,velocity_z,512x512x512,1e-3,on,0.0012689,0.062625,0.627443,1.126698E+03,3.130142E+03,64.772546,0.962157,64.787691,0.962290,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_velocity_z_eb1e-3_cgeomon.log
nyx,velocity_z,512x512x512,5e-3,off,,0.174517,0.807023,1.234775E+05,2.209187E+05,50.794898,0.559852,58.839560,0.907208,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_velocity_z_eb5e-3_cgeomoff.log
nyx,velocity_z,512x512x512,5e-3,on,2.82944,0.161822,0.819718,1.170879E+05,2.185057E+05,50.794898,0.559852,58.963818,0.908628,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_velocity_z_eb5e-3_cgeomon.log
nyx,velocity_z,512x512x512,1e-2,off,,0.162142,0.832792,2.400653E+05,4.416768E+05,44.755193,0.276103,53.783425,0.827551,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_velocity_z_eb1e-2_cgeomoff.log
nyx,velocity_z,512x512x512,1e-2,on,6.00732,0.152603,0.842332,2.277646E+05,4.382059E+05,44.755193,0.276103,53.927959,0.826750,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_velocity_z_eb1e-2_cgeomon.log
