dataset,field,dims,rel_eb,cgeom,geo_scale,harm_rate,benefit_rate,initial_psnr,initial_ssim,final_psnr,final_ssim,log_file
nyx,velocity_x,512x512x512,1e-3,p80f1,1,0.166653,0.539155,64.770879,0.960492,68.667873,0.987925,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_velocity_x_eb1e-3_p80f1.log
nyx,velocity_x,512x512x512,5e-3,p80f1,2.82843,0.146579,0.835817,50.795315,0.556353,59.434224,0.922355,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_velocity_x_eb5e-3_p80f1.log
nyx,velocity_x,512x512x512,1e-2,p80f1,6.00431,0.140791,0.853939,44.758605,0.271399,54.243278,0.857160,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_velocity_x_eb1e-2_p80f1.log
nyx,velocity_y,512x512x512,1e-3,p80f1,1.00106,0.197101,0.635341,64.770111,0.933545,69.238109,0.980862,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_velocity_y_eb1e-3_p80f1.log
nyx,velocity_y,512x512x512,5e-3,p80f1,4.00526,0.155217,0.834296,50.800854,0.425588,59.573295,0.877797,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_velocity_y_eb5e-3_p80f1.log
nyx,velocity_y,512x512x512,1e-2,p80f1,8.13018,0.152591,0.844634,44.731495,0.192604,54.068924,0.787771,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_velocity_y_eb1e-2_p80f1.log
nyx,velocity_z,512x512x512,1e-3,p80f1,1,0.174314,0.515754,64.772546,0.962157,68.284634,0.986992,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_velocity_z_eb1e-3_p80f1.log
nyx,velocity_z,512x512x512,5e-3,p80f1,2.82944,0.161822,0.819718,50.794898,0.559852,58.963818,0.908628,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_velocity_z_eb5e-3_p80f1.log
nyx,velocity_z,512x512x512,1e-2,p80f1,6.00732,0.152603,0.842332,44.755193,0.276103,53.927959,0.826750,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_velocity_z_eb1e-2_p80f1.log
nyx,baryon_density,512x512x512,1e-3,p80f1,,0.000000,0.000000,92.978121,0.002034,92.978121,0.002034,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_baryon_density_eb1e-3_p80f1.log
nyx,baryon_density,512x512x512,5e-3,p80f1,,,,88.817858,0.000615,88.817858,0.000615,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_baryon_density_eb5e-3_p80f1.log
nyx,baryon_density,512x512x512,1e-2,p80f1,,,,86.751905,0.000363,86.751905,0.000363,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_baryon_density_eb1e-2_p80f1.log
nyx,dark_matter_density,512x512x512,1e-3,p80f1,,0.000000,0.000000,78.688234,0.063949,78.688234,0.063949,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_dark_matter_density_eb1e-3_p80f1.log
nyx,dark_matter_density,512x512x512,5e-3,p80f1,,0.000000,0.000000,73.514726,0.013100,73.514726,0.013100,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_dark_matter_density_eb5e-3_p80f1.log
nyx,dark_matter_density,512x512x512,1e-2,p80f1,,0.000000,0.000000,71.484658,0.006444,71.484658,0.006444,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_dark_matter_density_eb1e-2_p80f1.log
nyx,temperature,512x512x512,1e-3,p80f1,7.21422,0.279298,0.711295,63.893276,0.203918,68.358670,0.600864,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_temperature_eb1e-3_p80f1.log
nyx,temperature,512x512x512,5e-3,p80f1,,0.000000,0.000000,54.681982,0.023063,54.681982,0.023063,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_temperature_eb5e-3_p80f1.log
nyx,temperature,512x512x512,1e-2,p80f1,,0.000000,0.000000,54.120235,0.004564,54.120235,0.004564,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_temperature_eb1e-2_p80f1.log
hurricane,CLOUDf48.bin,100x500x500,1e-3,p80f1,,0.000000,0.000000,74.551865,0.939593,74.551865,0.939593,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_CLOUDf48_bin_eb1e-3_p80f1.log
hurricane,CLOUDf48.bin,100x500x500,5e-3,p80f1,,0.000000,0.000000,61.245129,0.892339,61.245129,0.892339,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_CLOUDf48_bin_eb5e-3_p80f1.log
hurricane,CLOUDf48.bin,100x500x500,1e-2,p80f1,,0.000000,0.000000,55.673181,0.866362,55.673181,0.866362,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_CLOUDf48_bin_eb1e-2_p80f1.log
hurricane,Pf48.bin,100x500x500,1e-3,p80f1,1,0.109382,0.378350,64.802868,0.947586,67.073060,0.986760,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_Pf48_bin_eb1e-3_p80f1.log
hurricane,Pf48.bin,100x500x500,5e-3,p80f1,3.00097,0.125887,0.802717,50.730260,0.603833,58.346274,0.949918,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_Pf48_bin_eb5e-3_p80f1.log
