dataset,field,dims,rel_eb,downsample_factor,edt_total_s,edt_round1_s,edt_round2_s,fill_sign_s,neutral_boundary_s,downsample_boundary_s,compensation_stage_s,initial_psnr,initial_ssim,final_psnr,final_ssim,log_file,sparsity,edge_density,skipped,skip_reason,harm_rate,benefit_rate
nyx,velocity_x,512x512x512,1e-3,0,3.2174,1.4547,1.7627,0.035251,0.153182,0,0.0883854,64.770879,0.960492,68.647653,0.988038,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_x_eb1e-3_f0.log,0.989357,0.857252,0,,0.179239,0.526569
nyx,velocity_x,512x512x512,1e-3,2,2.49298,2.22977,0.26321,0.0303567,0.146768,0.171609,0.223491,64.770879,0.960492,68.511110,0.987089,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_x_eb1e-3_f2.log,0.989357,0.857252,0,,0.176893,0.528915
nyx,velocity_x,512x512x512,1e-3,4,1.88837,1.86966,0.0187059,0.0303221,0.149542,0.168311,0.221941,64.770879,0.960492,68.610890,0.986708,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_x_eb1e-3_f4.log,0.989357,0.857252,0,,0.150200,0.555608
nyx,velocity_x,512x512x512,1e-3,8,1.80226,1.79865,0.00360982,0.0305078,0.14744,0.169068,0.222386,64.770879,0.960492,68.698863,0.986830,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_x_eb1e-3_f8.log,0.989357,0.857252,0,,0.131033,0.574775
nyx,velocity_x,512x512x512,5e-3,0,4.22497,2.11471,2.11026,0.0478138,0.136309,0,0.0683392,50.795315,0.556353,59.578210,0.926100,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_x_eb5e-3_f0.log,0.949016,0.266869,0,,0.157475,0.824921
nyx,velocity_x,512x512x512,5e-3,2,2.45192,2.17983,0.272094,0.0493829,0.142847,0.249702,0.232332,50.795315,0.556353,59.347510,0.922888,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_x_eb5e-3_f2.log,0.949016,0.266869,0,,0.160186,0.822210
nyx,velocity_x,512x512x512,5e-3,4,2.33732,2.32074,0.0165727,0.0552596,0.137609,0.244886,0.222239,50.795315,0.556353,57.855942,0.896195,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_x_eb5e-3_f4.log,0.949016,0.266869,0,,0.150502,0.831894
nyx,velocity_x,512x512x512,5e-3,8,1.98419,1.98142,0.00277604,0.0497138,0.136091,0.243865,0.222988,50.795315,0.556353,55.712518,0.812611,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_x_eb5e-3_f8.log,0.949016,0.266869,0,,0.129552,0.852844
nyx,velocity_x,512x512x512,1e-2,0,4.0805,2.07607,2.00442,0.0599248,0.109392,0,0.0524847,44.758605,0.271399,54.173234,0.861462,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_x_eb1e-2_f0.log,0.898317,0.142408,0,,0.151717,0.843013
nyx,velocity_x,512x512x512,1e-2,2,2.65587,2.3848,0.271077,0.068128,0.112953,0.177965,0.225206,44.758605,0.271399,54.108751,0.858904,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_x_eb1e-2_f2.log,0.898317,0.142408,0,,0.150663,0.844067
nyx,velocity_x,512x512x512,1e-2,4,2.03876,2.01972,0.0190355,0.0665871,0.111755,0.174621,0.224454,44.758605,0.271399,53.689987,0.845163,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_x_eb1e-2_f4.log,0.898317,0.142408,0,,0.145460,0.849271
